ID,CODIGO DE LA ENTIDAD,CODIGO UBIGEO INEI,CODIGO PAIS ,NOMBRE DE LA UO,Fecha,CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),"PM10 
(ug/m3)","PM2.5 
(ug/m3)",SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,"Presion 
(Pa)",Temperatura (C)
1,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 0:00,2819.19,17.41,27.08,,8.31,2.80,28.88,60.79,0.00,95.36,-12.04028,-77.04361,1003.00,21.15
2,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 1:00,2602.10,12.16,44.45,,3.14,1.49,27.22,57.12,0.00,96.10,-12.04028,-77.04361,1002.54,20.64
3,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 2:00,2753.00,11.09,40.60,,4.29,1.70,27.20,52.88,0.00,96.10,-12.04028,-77.04361,1001.97,20.53
4,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 3:00,2855.80,11.01,35.97,,5.66,2.12,26.99,52.78,0.00,96.09,-12.04028,-77.04361,1001.42,20.54
5,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 4:00,2010.01,10.60,39.62,,4.58,1.89,27.42,50.11,0.00,95.94,-12.04028,-77.04361,1000.75,20.63
6,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 5:00,,11.83,21.89,,9.86,3.40,27.11,58.56,0.00,96.09,-12.04028,-77.04361,1000.79,20.23
7,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 6:00,,19.79,27.55,,8.17,2.89,27.16,64.04,0.00,96.10,-12.04028,-77.04361,1001.22,19.84
8,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 7:00,2491.25,16.01,31.74,,6.92,2.91,28.41,76.42,0.08,96.10,-12.04028,-77.04361,1001.78,20.63
9,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 8:00,3065.79,22.12,27.37,,8.22,3.24,30.15,79.82,0.25,89.69,-12.04028,-77.04361,1002.26,23.80
10,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 9:00,2766.59,20.45,33.43,,6.42,2.58,30.43,83.19,0.36,86.94,-12.04028,-77.04361,1002.64,23.49
11,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 10:00,3358.89,27.97,26.16,,8.58,3.17,32.62,85.35,0.44,84.72,-12.04028,-77.04361,1002.80,23.94
12,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 11:00,3153.10,27.87,27.98,,8.04,2.90,31.14,86.68,0.50,83.36,-12.04028,-77.04361,1002.53,23.74
13,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 12:00,2980.52,28.29,36.60,,5.48,2.14,33.14,87.82,3.16,85.13,-12.04028,-77.04361,1001.96,23.55
14,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 13:00,2798.44,28.10,39.77,,4.53,1.73,33.52,88.65,1.48,81.47,-12.04028,-77.04361,1001.53,24.03
15,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 14:00,3158.10,32.76,42.76,,3.64,1.42,38.57,88.05,3.34,73.91,-12.04028,-77.04361,1000.91,25.49
16,10069,150122,PE,Subgerencia de Desarrollo Ambiental,3/20/21 15:00,2798.56,34.48,43.38,,3.46,1.56,38.85,88.18,2.66,76.42,-12.04028,-77.04361,1000.17,25.25
